web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href|||
"The Baudelaires have to find a way to rescue Sunny and in the process meet someone who should have died in a fire and an old classmate at the """"austere"""" academy.  I used to think that this was the best book in SoUE before yesterday.  It seems as if the  new books always exceed their standards of the previous ones."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"|||||||||||
1556766211-4500|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Sam B.|Five Stars|3-Oct-15|Awesome!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews|||
"1556766197-4441,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,kryspoly,recommend to all mystery loving bookworms (kids & adults too),12-Apr-16,""my 12 yo reads & loves all Lemony Snicket's books, including this series... recommend to all mystery loving bookworms (kids & adults too)!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews"|||||||||||
1556766202-4454|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|amatulli|Five Stars|2-Oct-15|Came in the mail and in great condition.  For our home kids' library.  Great book!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews|||
1556766202-4455|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|LRobb|My nephew loves it.|16-Jan-14|My nephew loves it. We purchased this so he can add it to his collection of books. Came in good packaging and the book was in great condition.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews|||
"1556766202-4459,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Elaine Mains,Gift,6-Sep-13,""More delightful writings of lemony snicket. He had given a series of them as a gift to our son, he ate them like cookies!!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews"|||||||||||
1556766204-4472|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Nicolas Martin|Five Stars|15-Sep-14|Keep my attention all of the time|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews|||
1556766202-4457|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Brenna Dixon|Great|18-Apr-19|Perfect love this book|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=five_star&pageNumber=4&reviewerType=all_reviews|||
1556766226-4566|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Robert Reardon|I'm impressed|30-Jul-06|Best of the series so far. Alternating the action between the two older siblings in one chapter and Sunny in the next really worked for me.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews|||
"1556766219-4537,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,KAMAHA,The latest book in an already memorable series!!!,15-Feb-04,""Lemony Snicket shows once again that he is not only a emotionally harmed person, but also a exellent author. There are only a couple more books left. Like everything having to do with his books there will be 13. There are also 13 chapters in every book.This is because the three children are the three most unlucky children in the world. Their parents die, they get a evil gaurdian who wants to steal their fortune. This man keeps on chasing them and he will not stop until he has their fourtune. Yet now, Sunny (the yougest Baudelaire)is kidnapped by Count Olaf (the villain). So now the plot is so deep that you can't just pick up this book and understand it. Yet if you start reading this and the other books, the only thing you'll be dissapointed about is the sad story of the Baudelaire's sad life. It will keep us all guessing about how it will end."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"|||||||||||
1556766199-4452|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|holly|Yes|12-Apr-13|Great series. My son and I were both reading the sreies and we were both reading at the same speed. Trading off time like you have it for an hour and then it is my turn it was fun|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&filterByStar=five_star&pageNumber=3&reviewerType=all_reviews|||
"1556766215-4515,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Toni Masters,Infectious!,9-Jul-05,""Resulting from the cliffhanger in the ninth book, Violet and Klaus save themselves from the falling caravan and up the cold, wintery mountains to save Sunny, who has been kidnapped by Olaf.They climb all the way, through the snow gnats, that bite people for no reason whatsoever, to a cave with a fire inside it.They find the cave is occupied by a group of bored and annual snow scouts and the mean and nasty Carmelita Spats.The two children join the snow scouts and come face to face with Quiggley Quagmire, the surviver of the fire.The children follow Quiggley througha secret tunnel to the burnt remaints of VFD headquatres, meanwhile.........Sunny and Olaf's troup find themselves at the top of the Slippery Slope, Sunny is forced to cook breakfast while the troup have a special meeting with two fearful strangers:A lady with hair and no beard and a man with a beard but no hair.In the end, Count Olaf has possesion of the Snicket Files and has a secret plan to get himself more recruits especially Carmelita Spats...........Read this creepy book in the Series Of Unfortunate Events."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"|||||||||||
1556766228-4580|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|The Last Kid Picked|<Can't think of a title>|7-Oct-03|The Slippery Slope was a good book. I have so far enjoyed all of the Lemony SNicket books(except book the fourth also known as The Miserable Mill). Buy this book if you have read the other nine.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews|||
"1556766213-4505,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Kyaro,An unfortunate event on a mountain,1-Oct-17,""In this book, Sunny gets separated from Klaus and Violet, her big brother and sister. She is now with Count Olaf, the one who tried to steal their fortune and his associates. Violet and Klaus meet up with their old enemy from book number five, Carmelita Spats. Then, they see a triplet who was known to be dead in a fire. His name is Quigly Quagmire. They go up the mountain where Sunny is, and they pretend to be volunteers. At the top of the mountain, Violet, Klaus, and Quigly reveal their true identity. What will happen in the next book? Another unfortunate event? This s a great book (with lots of vocabulary words in it) for kids to read who are about eight. If this review interests you, you might want t read it!!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"|||||||||||
"1556766204-4465,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Tom Maassen,Five Stars,22-Feb-16,""Well described, quickly shipped.  Much appreciated!!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews"|||||||||||
"1556766215-4519,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Spongebob Squarepants Fan,""An excellent sequel to """"The Carniverous Carnival"""""",14-Dec-03,""When the last book in the Series of Unfortunate Events left off, Sunny had been taken away by Count Olaf and his troupe, while Klaus and Violet were going down the mountain at a rapid speed in a caravan, trying to chase after Sunny and Count Olaf's troupe. When Violet, like always, finally devises a plan to get the caravan to stop moving, she and Klaus take the things that would seem the most important, and set out to find their sister. After walking around a while, they encounter the Snow Scouts, whom one of the members offer to help them search for Sunny and to get to Count Olaf. Imagine Violet and Klaus' surprise when they discover that this member is really Quigley Quagmire, brother of the two triplets Isadora and Duncan, and who also was believed to have died in the fire that the parents of the triplets also died in. As Quigley, Klaus, and Violet share all they know about VFD to one another and devise a plan to get Sunny back, they also find out many more secrets about VFD along the way."|||||||||||
"The tenth book in the Series of Unfortunate Events has it all- mystery, action, suspense, and humor. One minute you'll be laughing at Lemony Snicket's witty humor, and the next, you'll be wondering if Sunny really will return to her siblings. I was so engrossed in this story, I finished it in two hours. It's an excellent addemum to the Series of Unfortunate Events. Hope you like the book!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=five_star&pageNumber=10&reviewerType=all_reviews"|||||||||||
"1556766217-4529,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,J. Brown,A Little Bit Of Happiness In This One,15-Sep-17,""Back to being good :-) After the disappointment of the last book, I was glad I enjoyed this one. What a surprise with someone being alive too! I am happy for the kids and hopefully this means more happiness on the way for them??"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"|||||||||||
1556766211-4494|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Shannon Theis|A good book|12-Apr-15|It was good I'd reed I again you should read it I am Done in  5 4 3 2 1 done happy face|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews|||
"1556766219-4536,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Trevor,TSS Reveiw,17-Jun-04,""The book has plenty more downs then ups, but the story is a good one. The three protagonists Violet, Sunny and Klaus Baudelaire, are separated leaving Violet and Klaus to their doom. Throughout the book the Baudelaires manage to: Lose Sunny to the antagonist Count Olaf, escape a speeding wagon, get chased by snow nats, find fire and shelter, run into a rather cruel and familiar enemy, meet a VFD member, get to the VFD hideout to find it  eliminated, reach Sunny, get caught by Olaf, figure out his plan... And after all this nearly nothing is accomplished. The Baudelaires may have reached one goal and that was to be reunited. But VFD and their parents still remain a mystery."|||||||||||
  The book definitely has a lot of character| with Count Olaf and his troop and the Baudelaires| but it is mostly plot. With Count Olaf always scheming something to get hold of the Baudelaire fortune| the Baudelaires always trying to outwit him and especially in this book with the Baudelaires trying to find out the mystery of VFD.||||||||
"  Personally this is one of the best books I've ever read because of how fun the writing is. Lemony Snicket has the funniest, oddest most entertaining writing there is. And he chooses to be a little more adventurous in this book by giving Violet, Sunny and Klaus the most difficult situations in the series. Anyone who reads this book must read the other nine in the series, because many of the mysteries in the series are uncovered in this book. Although just enough is hidden that there is still much suspense and thirst to read the next book in the series."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"|||||||||||
1556766208-4490|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Archie Garcia Rodriguez|Five Stars|18-Jul-15|Excellent|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=five_star&pageNumber=7&reviewerType=all_reviews|||
1556766230-4584|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Cobbler|The best book in the world!|16-Nov-03|This book is great. Lemoney snicket makes the story really funny and smart and clever. It's alot like harry  potter because no happy things happen. But no magic will be involed.  It in my opinoun is the best lemoney snicket book yet.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews|||
"1556766222-4551,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Amazon Customer,Love these books,9-Oct-03,""I have to say I love these books. I love them so much I wrote a 47 episode comic series about what happens to the Baudelaires  when they turn into superheroes. I was delighted to find the book in a shopping bag for my birthday. I could not put it down. I ran cartwheels  down the hall when the masked scout took off his mask.  I finished the book in an hour.  Some parts were funny, some were exciting, and there were lots of big words. This book is fabulous! Warning: Do not read this one first. Start from Book One and work your way up or you won't know who the heck anyone is."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=five_star&pageNumber=13&reviewerType=all_reviews"|||||||||||
"1556766226-4564,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Dottie Randazzo,Probably the Scariest Book,2-Aug-07,""This book was probably the scariest of all of the Unfortunate Event series. The story is well written, very descriptive, no boring parts. Really fun... but really scary. Highly recommended."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=five_star&pageNumber=15&reviewerType=all_reviews"|||||||||||
"1556766224-4556,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Lika Laruku,Best in the series.,23-Feb-09,""Well, I've only just started Grimm Grotto, but Slippery Slope stood out to me as the most interesting stories in the series, introducing important plot development that would go beyond just this book, as well as character development, especially for Sunny."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"|||||||||||
"1556766228-4582,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,A. Lowenberg,By some random 7th grader,13-Dec-04,""The Slippery Slope By lemony snicket is a fantastic,suspensful book. very chapter is full of attention getting events and actions.It is a perfect example childrens fun to read litereture."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=five_star&pageNumber=16&reviewerType=all_reviews"|||||||||||
1556766230-4593|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Matt Almonte|BEST BOOK EVER|23-Sep-03|This is the best book I've ever read! I can't wait for #11. Lemony Snicket is at his best with these books. OMG!! IT'S AWESOME!!!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&filterByStar=five_star&pageNumber=17&reviewerType=all_reviews|||
"1556766217-4527,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,HeadbangerDuh,Oh! My Goodness!,22-May-04,""My little brother likes these books, so one day I decided to pick one up. I immediately became hooked. But this one is just so weird! It's not at all like the other ones. but it is definitely the best. I felt The Carnivorous Carnival was something of a letdown. But this returns full swing to the classic Lemony Snicket goodness. But this one IS a little weird, don't you think? I mean, it's not as unfortunate, SO many secrets are revealed, they meet the fire survivor (I'm not sayin' who), and there are some hidden morals and meanings that some kids wouldn't pick up. It shown the determination that Klaus and Violet had when Sunny was kidnapped in the previous book. I love this one. It's the best one since Vile Village!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&filterByStar=five_star&pageNumber=11&reviewerType=all_reviews"|||||||||||
1556766197-4435|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Linda LeBlanc|Five Stars|23-May-18|My grandson loves these series|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&filterByStar=five_star&pageNumber=2&reviewerType=all_reviews|||
"1556766213-4512,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Joe Sherry,up the down mountain,12-Sep-06,""The Slippery Slope is the tenth volume in A Series of Unfortunate Events by Lemony Snicket. Having disguised themselves as Carnival Freaks and pretending to join Count Olaf's gang in order to get to the VFD headquarters, the Baudelaire Orphans have been discovered by Count Olaf and while Sunny was kidnapped, Klaus and Violet or locked in a trailer and are rolling backwards down a mountain road with no control over the trailer. This is where we begin The Slippery Slope. The elder orphans struggle to find a way to save themselves and then make their way back up the mountain to the secret headquarters, and Sunny struggles to find an opportunity to escape to find her siblings or to learn more about the scheme of Count Olaf."|||||||||||
|||||||||||
As always| one book in this series is quite similar to the others| but we learn much more about the mysterious VFD that has been hinted at for several books now and somewhat more about the Quagmire Triplets is also revealed. One gets the sense that Snicket truly is wrapping this series up and leading towards an end (not to mention that book 13 is called The End). The Slippery Slope is a satisfying book and one which should please longtime readers of the series. The fun| the despair| the words of warning| the riddles and rhymes| and the new mysterious about the old villains...all of this is included. If you like the first nine| you'll be happy with ten.||||
|||||||||||
"-Joe Sherry"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews"|||||||||||
"1556766204-4466,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Mt,Great for kids,3-Mar-15,""Bought all series great writing, satirical"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews"|||||||||||
"1556766211-4503,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Rocky Sunico,A Lot of Growing Up and Finally V.F.D.,16-Jul-18,""The Slippery Slope is the 10th book in Lemony Snicket's A Series of Unfortunate Events books. This book will be included in the third season of the Netflix television series."|||||||||||
|||||||||||
The book begins immediately after the end of The Carnivorous Carnival with Violet and Klaus in a runaway caravan barreling down the steep mountainside with Sunny a prisoner of Count Olaf and his cohorts. And while it is narratively certain that the two siblings will escape their perilous fate (or there wouldn't be much of a book)| I'll leave the details for you to discover once you read the book. It's totally worth it| believe me.|||||||||
|||||||||||
The rest of the book has the Baudelaires separate as Violet and Klaus try to make their way to Count Olaf and thus to Sunny.  The two encounter a group of Snow Scouts that happens to include the rather obnoxious Carmelita Spats that we had last encountered in The Austere Academy. They're not the sort of help you'd expect to find but it turns out one of the scouts is more than he seems. Meanwhile Count Olaf is already at the peak of Mount Fraught preparing for a plan of his own with poor Sunny being forced to prepare meals for them despite her age.|||||||||||
|||||||||||
What I Liked: This book finally begins to answer some of the V.F.D. questions that I've had for quite some time now and we get a better look at things at to some degree a limited understanding of what those letters really mean. Brilliantly (and infuriatingly) V.F.D. turns out to stand for a great many things and thus perhaps all V.F.D. definitions are somehow relavant to the central mystery of the series.|||||||||||
|||||||||||
And the book has a larger theme of growing up| something that somewhat began when Klaus remembered it was his birthday during The Vile Village and better realized here. This is brought into focus for Sunny who is left without one of her siblings to help her for the first time in a while and this forces a bit of growing up indeed in order to find a way to keep ahead of Count Olaf. And you really appreciate that well deserved character moment in the context of everything else that had occurred.||||||||||
|||||||||||
What Could Have Been Better: I'm not quite sure why Snicket decided to bring back Carmelita Spats here if only because she was successful at being a very annoying character maybe? She was one of the more memorable aspects to The Austere Academy but that didn't mean she was worth the return. But here she is with the scouts and this acts as a setup for other characters coming back in the remaining books of the series.|||||||||||
|||||||||||
I'm not sure what the point of expanding Count Olaf's troupe with the circus freaks while not really commenting on the members of the troupe that had been left behind in past misadventures. While we don't really get a lot of time with them across the books| there used to be a bit of a consistency with how they were described before things started to change. But hey| this book is all about growing out of the old and adopting the new and things do shift around quite a bit.|||||||||
|||||||||||
"TL;DR: The Slippery Slope is a great chapter in the larger saga of the Baudelaries and the mystery of V.F.D. But even as the Baudelaires make some headway forward, this does not mean Count Olaf and those forces allied with him are idle and this growing darkness certainly helps shape the larger story."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&filterByStar=five_star&pageNumber=8&reviewerType=all_reviews"|||||||||||
"1556766224-4560,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,h Gregory Loring,They keep getting better...,29-Sep-03,""Every time I start a new book in this series, I think I have a good idea of where it is going, but I always end up surprised. I love the way the books have evolved from the simple first few chapters to the intricit plot we're knee-deep in now."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=five_star&pageNumber=14&reviewerType=all_reviews"|||||||||||
1556766206-4481|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Ed|Five Stars|9-Jan-15|Made Christmas- nice work!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews|||
1556766206-4477|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Margaret S. Sharp|Five Stars|7-Apr-17|Great|5.0 out of 5 stars|Next page?|https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&filterByStar=five_star&pageNumber=6&reviewerType=all_reviews|||
"1556766215-4521,https://www.amazon.com/Slippery-Slope-Unfortunate-Events-Book/product-reviews/0064410137/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Gypsi,More Wickedly Witty Snicket,11-Sep-04,""The story so far. . . After the horrors of the Caligari Carnival, he Baudelaire orphans have been split up by the awful Count Olaf, with the eldest left to plummet to thier death in a speeding caravan off the side of the Mortmain Mountains and the youngest kidnapped to be his ticket to the Baudelaire fortune and. . . Lemony Snicket has done it again!"|||||||||||
|||||||||||
